                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     76,                0.68811,                0.50729,                 1.0014,                0.94313,                0.86037,                0.89588,                0.70572,                 0.8856,                0.75085,                 1.1194,               0.002575,               0.002575,               0.002575
                     77,                0.67439,                0.51044,                 1.0005,                0.90586,                0.86037,                0.90793,                0.67748,                0.99093,                0.69231,                  1.189,               0.002476,               0.002476,               0.002476
                     78,                0.67534,                0.48758,                 1.0029,                0.91184,                0.86037,                 0.9148,                0.69777,                0.92895,                0.74697,                 1.1764,               0.002377,               0.002377,               0.002377
                     79,                0.67923,                0.48405,                0.99689,                0.91496,                0.86579,                0.91573,                 0.6842,                 0.9916,                0.70174,                 1.1899,               0.002278,               0.002278,               0.002278
                     80,                0.66309,                0.48939,                0.99521,                0.93138,                0.84234,                0.92741,                0.69948,                0.96408,                  0.661,                 1.1592,               0.002179,               0.002179,               0.002179
                     81,                0.64185,                0.46706,                 0.9876,                0.96706,                 0.8796,                0.94332,                0.70532,                 0.9515,                0.65056,                 1.1484,                0.00208,                0.00208,                0.00208
                     82,                0.71809,                0.52993,                 1.0381,                0.94299,                0.86037,                0.93639,                0.71897,                0.95317,                0.71716,                 1.1593,               0.001981,               0.001981,               0.001981
                     83,                 0.6543,                0.48538,                 1.0029,                0.92534,                0.87674,                0.91028,                0.68674,                0.95932,                0.72602,                  1.154,               0.001882,               0.001882,               0.001882
                     84,                0.60974,                 0.4662,                 0.9715,                0.91848,                0.87576,                0.92301,                0.69704,                0.97015,                0.70003,                 1.2047,               0.001783,               0.001783,               0.001783
                     85,                0.60769,                 0.4422,                0.97996,                0.93485,                0.85806,                 0.9132,                 0.6788,                0.98265,                0.70793,                 1.2178,               0.001684,               0.001684,               0.001684
                     86,                0.62285,                0.43773,                0.97611,                0.93352,                0.85343,                0.92189,                0.68159,                  1.002,                0.67616,                 1.2495,               0.001585,               0.001585,               0.001585
                     87,                0.61322,                0.45748,                0.97249,                0.92014,                0.83863,                0.94665,                0.71912,                0.96507,                0.67717,                 1.1664,               0.001486,               0.001486,               0.001486
                     88,                0.60845,                0.44245,                0.97647,                0.95067,                 0.8164,                0.93729,                0.70905,                 1.0069,                0.75024,                 1.1849,               0.001387,               0.001387,               0.001387
                     89,                0.60808,                 0.4452,                0.96899,                0.94792,                0.86037,                0.93318,                0.72518,                0.90969,                0.70165,                 1.1447,               0.001288,               0.001288,               0.001288
                     90,                0.40455,                0.29935,                0.88564,                0.94752,                0.86037,                0.91639,                 0.7181,                0.91624,                0.69591,                 1.1658,               0.001189,               0.001189,               0.001189
                     91,                0.38734,                0.28897,                0.87434,                0.94706,                0.86037,                0.91441,                0.68848,                0.92249,                0.66572,                 1.1575,                0.00109,                0.00109,                0.00109
                     92,                0.39247,                0.28864,                0.88695,                0.94937,                0.86037,                0.92016,                0.71411,                0.88578,                 0.6607,                  1.133,               0.000991,               0.000991,               0.000991
                     93,                0.37794,                0.27101,                0.86626,                0.95004,                0.86037,                0.92979,                0.70473,                0.89343,                0.66287,                  1.129,               0.000892,               0.000892,               0.000892
                     94,                0.35501,                0.27273,                0.85561,                0.95023,                0.85786,                0.94363,                0.71198,                0.93432,                 0.6474,                 1.1093,               0.000793,               0.000793,               0.000793
                     95,                 0.3487,                0.26909,                0.85558,                0.95328,                0.84366,                0.93851,                0.71161,                0.92734,                0.66862,                 1.1217,               0.000694,               0.000694,               0.000694
                     96,                0.35132,                0.26465,                0.86953,                0.97724,                0.86611,                0.92073,                0.70468,                0.91095,                0.73268,                 1.1408,               0.000595,               0.000595,               0.000595
                     97,                0.34684,                0.25955,                0.84828,                0.97194,                0.86665,                0.92158,                0.70765,                0.91538,                0.72786,                  1.153,               0.000496,               0.000496,               0.000496
                     98,                0.32816,                0.25739,                0.84624,                  0.972,                0.86713,                0.92786,                0.71342,                0.91223,                0.73478,                 1.1538,               0.000397,               0.000397,               0.000397
                     99,                0.32113,                 0.2431,                0.83725,                0.94238,                0.86037,                0.92749,                 0.7172,                0.89999,                0.69703,                 1.1423,               0.000298,               0.000298,               0.000298
